Id,Title,Type,Participants,Price,ActivityDuration,kidFriendly
1,Go for a walk,Recreational,Solo,Free,Short,true
2,Volunteer at an animal shelter,Charity,Group,Free,Medium,true
3,Bake cookies,Cooking,Group,Low,Medium,true
4,Attend a yoga class,Recreational,Solo,Low,Medium,true
5,Play board games,Social,Group,Low,Long,true
6,Go hiking,Sports,Group,Free,Long,true
7,Visit a museum,Education,Solo,Medium,Medium,true
8,Learn to play an instrument,Music,Solo,Low,Long,false
9,Watch a documentary,Education,Solo,Free,Medium,true
10,Plant a small herb garden,DIY,Solo,Low,Long,true
11,Build a birdhouse,DIY,Solo,Low,Medium,true
12,Join a local sports team,Sports,Group,Medium,Long,false
13,Take an online course,Education,Solo,Free,Long,true
14,Go to a community concert,Music,Group,Free,Short,true
15,Organize a picnic,Social,Group,Low,Medium,true
16,Try a new recipe,Cooking,Solo,Low,Medium,true
17,Go on a road trip,Travel,Group,High,Long,false
18,Paint or draw,Recreational,Solo,Free,Medium,true
19,Do a puzzle,Recreational,Solo,Free,Medium,true
20,Host a movie night,Social,Group,Low,Long,true
21,Practice meditation,Relaxation,Solo,Free,Short,true
22,Help a neighbor with errands,Charity,Solo,Free,Short,true
23,Make a scrapbook,DIY,Solo,Low,Long,true
24,Attend a cooking class,Cooking,Group,Medium,Medium,false
25,Write in a journal,Relaxation,Solo,Free,Short,true
26,Go swimming,Sports,Solo,Medium,Medium,false
27,Do a neighborhood cleanup,Charity,Group,Free,Medium,true
28,Build a fort with blankets,Recreational,Group,Free,Short,true
29,Explore a new town,Travel,Group,Medium,Long,false
30,Perform music in public,Music,Solo,Free,Medium,false
31,Create a family photo album,DIY,Group,Low,Long,true
32,Make homemade pizza,Cooking,Group,Low,Medium,true
33,Stargaze at night,Relaxation,Solo,Free,Long,true
34,Try a fitness challenge,Sports,Solo,Free,Medium,true
35,Visit a historical site,Education,Solo,Low,Medium,true
36,Go for a jog,Recreational,Solo,Free,Short,true
37,Organize a beach cleanup,Charity,Group,Free,Medium,true
38,Make candles at home,DIY,Solo,Low,Medium,true
39,Attend a pottery workshop,Recreational,Group,Medium,Medium,false
40,Visit a science center,Education,Group,Low,Medium,true
41,Write a short story,Relaxation,Solo,Free,Medium,true
42,Learn basic coding,Education,Solo,Free,Long,true
43,Do a parkour course,Sports,Solo,Free,Medium,false
44,Go biking with friends,Sports,Group,Free,Medium,true
45,Organize a food drive,Charity,Group,Low,Medium,true
46,Create a music playlist,Music,Solo,Free,Short,true
47,Try origami,DIY,Solo,Free,Short,true
48,Make a YouTube vlog,Recreational,Solo,Free,Long,false
49,Host a karaoke night,Music,Group,Low,Long,true
